"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11811","test_login[9876543210-True]","tests","2026-05-20","failed","2026-05-20","","test_01_login","",""
"","29319","test_cart_verification[Gucci-men-/mens/fragrance/luxe-luxe-fragrances-Brand-Gucci]","tests","2026-05-20","passed","2026-05-20","","test_05_cart","",""
"","18912","test_brand_filter[Gucci-True-men-/mens/fragrance/luxe-luxe-fragrances-Brand-Gucci]","tests","2026-05-20","passed","2026-05-20","","test_04_filters","",""
"","5015","test_search_invalid[@$%^]","tests","2026-05-20","passed","2026-05-20","","test_03_search","",""
"","22707","test_brand_filter[InvalidBrand-False-men-/mens/fragrance/luxe-luxe-fragrances-Brand-InvalidBrand]","tests","2026-05-20","passed","2026-05-20","","test_04_filters","",""
"","43755","test_checkout_navigation[Gucci-men-/mens/fragrance/luxe-luxe-fragrances-Brand-Gucci]","tests","2026-05-20","passed","2026-05-20","","test_07_checkout_navigation","",""
"","51717","test_nykaa_end_to_end[men-/mens/fragrance/luxe-luxe-fragrances-Brand-Gucci-Cash on delivery]","tests","2026-05-20","passed","2026-05-20","TestNykaaE2E","test_08_end_to_end","",""
"","54320","test_invalid_pincode[men-/mens/fragrance/luxe-luxe-fragrances-Brand-Gucci-123456]","tests","2026-05-20","passed","2026-05-20","TestShippingNegative","test_06_shipping_details","",""
"","4610","test_cart_empty","tests","2026-05-20","passed","2026-05-20","","test_02_cart_empty","",""
